ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"114.99.1.157","elite","AS4134","CN","Chinanet","294","Chinanet AH","8004","socks4","5097","1","2023-11-14T00:13:43.701Z","63","2934","4689"
"36.90.59.221","elite","AS7713","ID","PT. Telekomunikasi Indonesia","198","Telekomunikasi Indonesia","4153","socks4","4599","81","2023-11-14T00:13:33.113Z","83","3964","4791"
"104.168.234.148","elite","AS54290","US","Hostwinds LLC.","147","Hostwinds LLC","3128","socks4","4995","1","2023-11-14T00:13:33.115Z","90","4251","4730"
"197.234.13.32","elite","AS36902","SC","Intelvision","193","Intelvision Ltd","4145","socks4","4901","1","2023-11-14T00:13:33.116Z","99","4636","4664"
"41.60.233.97","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","202","Liquid Telecommunications Operations Limited","5678","socks4","4894","1","2023-11-14T00:13:33.112Z","86","4130","4778"
"41.223.233.94","elite","AS37008","BF","Alink Telecom Faso v","110","N/A","3629","socks4","5088","1","2023-11-14T00:13:33.114Z","87","4073","4692"
"200.81.144.1","elite","AS270934","BR","Silva de Sá Informática LTDA","200","Silva de Sá Informática LTDA","1080","socks4","1318","1","2023-11-14T00:13:33.113Z","100","4771","4782"
"220.176.250.190","elite","AS4134","CN","Chinanet","219","Chinanet JX","33080","socks4","4306","1","2023-11-14T00:13:33.112Z","18","844","4782"
"31.223.22.21","elite","AS12735","TR","TurkNet Iletisim Hizmetleri A.S.","67","TurkNet Iletisim Hizmetleri","1080","socks4","4389","1","2023-11-14T00:13:33.114Z","99","4674","4730"
"221.144.56.29","elite","AS4766","KR","Korea Telecom","280","Kornet","4001","socks4","5096","1","2023-11-14T00:13:22.499Z","60","2831","4690"
"116.212.142.75","elite","AS38235","KH","Angkor Data Communication","219","Mekongnet","33427","socks4","4392","1","2023-11-14T00:13:22.413Z","85","4091","4822"
"103.213.245.105","elite","AS18254","HK","Klayer LLC","245","N/A","4003","socks5","793","1","2023-11-14T00:13:22.499Z","92","4299","4679"
"209.141.56.216","elite","AS53667","US","FranTech Solutions","180","FranTech Solutions","10898","socks5","4998","1","2023-11-14T00:13:22.500Z","99","4769","4796"
"103.214.112.85","elite","AS136052","ID","PT Cloud Hosting Indonesia","301","PT Denbe Anugerah Solusindo","32323","socks5","5007","1","2023-11-14T00:13:22.498Z","53","2449","4588"
"203.13.32.218","elite","AS209242","CY","Cloudflare London, LLC","11","Lachtaristo Holdings Limited","80","socks4","1727","1","2023-11-14T00:13:22.500Z","100","4710","4710"
"116.224.121.167","elite","AS4812","CN","China Telecom (Group)","173","Chinanet SH","4145","socks4","5093","1","2023-11-14T00:13:11.299Z","60","2765","4597"
"197.234.13.62","elite","AS36902","SC","Intelvision","196","Intelvision Ltd","4145","socks4","1808","2","2023-11-14T00:13:11.300Z","100","4795","4813"
"38.127.179.124","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","15290","socks4","2120","1","2023-11-14T00:13:11.298Z","100","4742","4749"
